Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/convert-to-celsius,13670,0,17,18.29763076200391,12.932583995279856,477.8106250014389,102.29078273591807,54.32610128359598,0.0,17,17,18,19,21,26,40,52,93,230,480
,Aggregated,13670,0,17,18.29763076200391,12.932583995279856,477.8106250014389,102.29078273591807,54.32610128359598,0.0,17,17,18,19,21,26,40,52,93,230,480
